Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4c4350f8aeb5a5a6eb0f5dedc56358c07b295b2f0c18eb6fdca482b231092cdc,2017-01,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
d1b148346fe7cb32b9428e19149309741b0b8d41fbb78a43035efb0b08f868a4,2017-01,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
176d0cf08f9f20e2fd2cabe68d162915387f4c052ee5e95319b73ccb7b8dec47,2017-01,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
8727fde1f2524e5daa8c997ebb3d6378526155a8589a9a8eefc6cc198ada9f38,2017-01,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
a7dea5c86720f80e080d5f419e8dc037f0390e7af3cb139763837500da20554c,2017-01,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
0a053b9c2cdf6d00a72d44adc35df54d5682c7617a80f2404eb516a6ecffefbe,2017-01,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
ad9d53ecf3720094db8f8d64f24fd6e8311c4d4d89a0a322e7d96fd565a424e7,2017-01,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
4b7d5c0b1107894212771fa71ff060f226778c8ed0c326dfec4453467b94a20c,2017-01,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
fb51578213730c287dfd5bdf42924387b328b97b84bdab24e761080a64f02932,2017-01,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
2d399cb875738ea219dfda895245f425bf0d1bd734a932e470149d55a8901aab,2017-01,Thames Valley Police,Thames Valley Police,,,No location,,,Offender given a drugs possession warning
25ab943d17d131587b462c21b0f3488e304617417ffb7df6cf99529523e76eee,2017-01,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
8feef1fd97953d683dcdf5500ddf986f5bda57700e42a6811cb5d00b3560c77d,2017-01,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
5bf8d7df335fee5a858719a5266e34faeb00891de41387dd0afe2c4b174f80f1,2017-01,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
afd805e2ad67bd9076493ded7c2d7d4f0e546d45a2e5e69b66dcf8720c5a8089,2017-01,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
d091b0f1c733838732c143189ae68f2b432bd3d3b8bee79058f0011742d40b24,2017-01,Thames Valley Police,Thames Valley Police,,,No location,,,Local resolution
fc1e5ec5ea52528397a5e81241462a3a32d13fdbd154dc3daea2db99ae1dc7f6,2017-01,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
bd818d5a9e6e9a26352df17e99bec43b869e2c4b3561bff89487764e54cf5474,2017-01,Thames Valley Police,Thames Valley Police,,,No location,,,Local resolution
7c7083bc0eccdbf66d88070782524af98fbbca652001ace63f356180f3787b01,2017-01,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
4d30cc0a4ca8abc79967bb898a9e9d8135155d09c9fdb38a53ee27bfc4f76702,2017-01,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
70beb3b29da7348bb42444069cae4c13eea8a9b14fc1b172eb91c79e59427ca0,2017-01,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
0e9120a58c81610ebff5a2213106f72dd1a67be053ad3d80241b6b9d0cf7dc12,2017-01,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
